weather_num,website,province_code,city_name
129,http://www.nmc.gov.cn/publish/forecast/AFJ/lianjiang_iframe.html,AFJ,lianjiang
130,http://www.nmc.gov.cn/publish/forecast/AFJ/changting_iframe.html,AFJ,changting
131,http://www.nmc.gov.cn/publish/forecast/AFJ/liancheng_iframe.html,AFJ,liancheng
132,http://www.nmc.gov.cn/publish/forecast/AFJ/wuping_iframe.html,AFJ,wuping
133,http://www.nmc.gov.cn/publish/forecast/AFJ/shanghang_iframe.html,AFJ,shanghang
134,http://www.nmc.gov.cn/publish/forecast/AFJ/yongan_iframe.html,AFJ,yongan
135,http://www.nmc.gov.cn/publish/forecast/AFJ/datian_iframe.html,AFJ,datian
136,http://www.nmc.gov.cn/publish/forecast/AFJ/zhangping_iframe.html,AFJ,zhangping
137,http://www.nmc.gov.cn/publish/forecast/AFJ/huaan_iframe.html,AFJ,huaan
138,http://www.nmc.gov.cn/publish/forecast/AFJ/anxi_iframe.html,AFJ,anxi
139,http://www.nmc.gov.cn/publish/forecast/AFJ/yongtai_iframe.html,AFJ,yongtai
140,http://www.nmc.gov.cn/publish/forecast/AFJ/pingnan_iframe.html,AFJ,pingnan
141,http://www.nmc.gov.cn/publish/forecast/AFJ/yongchun_iframe.html,AFJ,yongchun
142,http://www.nmc.gov.cn/publish/forecast/AFJ/dehua_iframe.html,AFJ,dehua
143,http://www.nmc.gov.cn/publish/forecast/AFJ/xianyou_iframe.html,AFJ,xianyou
144,http://www.nmc.gov.cn/publish/forecast/AFJ/xiuyugang_iframe.html,AFJ,xiuyugang
145,http://www.nmc.gov.cn/publish/forecast/AFJ/changle_iframe.html,AFJ,changle
146,http://www.nmc.gov.cn/publish/forecast/AFJ/fuqing_iframe.html,AFJ,fuqing
147,http://www.nmc.gov.cn/publish/forecast/AFJ/pingtan_iframe.html,AFJ,pingtan
148,http://www.nmc.gov.cn/publish/forecast/AFJ/yongding_iframe.html,AFJ,yongding
149,http://www.nmc.gov.cn/publish/forecast/AFJ/changtai_iframe.html,AFJ,changtai
150,http://www.nmc.gov.cn/publish/forecast/AFJ/nanjing_iframe.html,AFJ,nanjing
151,http://www.nmc.gov.cn/publish/forecast/AFJ/pinghe_iframe.html,AFJ,pinghe
152,http://www.nmc.gov.cn/publish/forecast/AFJ/longhai_iframe.html,AFJ,longhai
153,http://www.nmc.gov.cn/publish/forecast/AFJ/zhangpu_iframe.html,AFJ,zhangpu
154,http://www.nmc.gov.cn/publish/forecast/AFJ/tongan_iframe.html,AFJ,tongan
155,http://www.nmc.gov.cn/publish/forecast/AFJ/nanan_iframe.html,AFJ,nanan
156,http://www.nmc.gov.cn/publish/forecast/AFJ/quanzhou_iframe.html,AFJ,quanzhou
157,http://www.nmc.gov.cn/publish/forecast/AFJ/chongwu_iframe.html,AFJ,chongwu
158,http://www.nmc.gov.cn/publish/forecast/AFJ/taizhong_iframe.html,AFJ,taizhong
159,http://www.nmc.gov.cn/publish/forecast/AFJ/zhaoan_iframe.html,AFJ,zhaoan
160,http://www.nmc.gov.cn/publish/forecast/AFJ/dongshan_iframe.html,AFJ,dongshan
161,http://www.nmc.gov.cn/publish/forecast/AFJ/yunxiao_iframe.html,AFJ,yunxiao
162,http://www.nmc.gov.cn/publish/forecast/AFJ/gaoxiong_iframe.html,AFJ,gaoxiong
163,http://www.nmc.gov.cn/publish/forecast/AGS/jiayuguan_iframe.html,AGS,jiayuguan
164,http://www.nmc.gov.cn/publish/forecast/AGS/jiuquan_iframe.html,AGS,jiuquan
165,http://www.nmc.gov.cn/publish/forecast/AGS/zhangye_iframe.html,AGS,zhangye
166,http://www.nmc.gov.cn/publish/forecast/AGS/wuwei_iframe.html,AGS,wuwei
167,http://www.nmc.gov.cn/publish/forecast/AGS/baiyin_iframe.html,AGS,baiyin
168,http://www.nmc.gov.cn/publish/forecast/AGS/linxia_iframe.html,AGS,linxia
169,http://www.nmc.gov.cn/publish/forecast/AGS/qingcheng_iframe.html,AGS,qingcheng
170,http://www.nmc.gov.cn/publish/forecast/AGS/kongtong_iframe.html,AGS,kongtong
171,http://www.nmc.gov.cn/publish/forecast/AGS/wudu_iframe.html,AGS,wudu
172,http://www.nmc.gov.cn/publish/forecast/AGS/tianshui_iframe.html,AGS,tianshui
173,http://www.nmc.gov.cn/publish/forecast/AGS/lanzhou_iframe.html,AGS,lanzhou
174,http://www.nmc.gov.cn/publish/forecast/AGS/dunhuang_iframe.html,AGS,dunhuang
175,http://www.nmc.gov.cn/publish/forecast/AGS/guazhou_iframe.html,AGS,guazhou
176,http://www.nmc.gov.cn/publish/forecast/AGS/yumen_iframe.html,AGS,yumen
177,http://www.nmc.gov.cn/publish/forecast/AGS/jinta_iframe.html,AGS,jinta
178,http://www.nmc.gov.cn/publish/forecast/AGS/subei_iframe.html,AGS,subei
179,http://www.nmc.gov.cn/publish/forecast/AGS/gaotai_iframe.html,AGS,gaotai
180,http://www.nmc.gov.cn/publish/forecast/AGS/linze_iframe.html,AGS,linze
181,http://www.nmc.gov.cn/publish/forecast/AGS/sunan_iframe.html,AGS,sunan
182,http://www.nmc.gov.cn/publish/forecast/AGS/minle_iframe.html,AGS,minle
183,http://www.nmc.gov.cn/publish/forecast/AGS/shandan_iframe.html,AGS,shandan
184,http://www.nmc.gov.cn/publish/forecast/AGS/yongchang_iframe.html,AGS,yongchang
185,http://www.nmc.gov.cn/publish/forecast/AGS/minqin_iframe.html,AGS,minqin
186,http://www.nmc.gov.cn/publish/forecast/AGS/gulang_iframe.html,AGS,gulang
187,http://www.nmc.gov.cn/publish/forecast/AGS/jingtai_iframe.html,AGS,jingtai
188,http://www.nmc.gov.cn/publish/forecast/AGS/tianzhu_iframe.html,AGS,tianzhu
189,http://www.nmc.gov.cn/publish/forecast/AGS/gaolan_iframe.html,AGS,gaolan
190,http://www.nmc.gov.cn/publish/forecast/AGS/yongdeng_iframe.html,AGS,yongdeng
191,http://www.nmc.gov.cn/publish/forecast/AGS/jingyuan_iframe.html,AGS,jingyuan
192,http://www.nmc.gov.cn/publish/forecast/AGS/xiahe_iframe.html,AGS,xiahe
193,http://www.nmc.gov.cn/publish/forecast/AGS/yongjing_iframe.html,AGS,yongjing
194,http://www.nmc.gov.cn/publish/forecast/AGS/dongxiang_iframe.html,AGS,dongxiang
195,http://www.nmc.gov.cn/publish/forecast/AGS/guanghe_iframe.html,AGS,guanghe
196,http://www.nmc.gov.cn/publish/forecast/AGS/yuzhong_iframe.html,AGS,yuzhong
197,http://www.nmc.gov.cn/publish/forecast/AGS/hezheng_iframe.html,AGS,hezheng
198,http://www.nmc.gov.cn/publish/forecast/AGS/lintao_iframe.html,AGS,lintao
199,http://www.nmc.gov.cn/publish/forecast/AGS/kangle_iframe.html,AGS,kangle
200,http://www.nmc.gov.cn/publish/forecast/AGS/huining_iframe.html,AGS,huining
201,http://www.nmc.gov.cn/publish/forecast/AGS/weiyuan_iframe.html,AGS,weiyuan
202,http://www.nmc.gov.cn/publish/forecast/AGS/huanxian_iframe.html,AGS,huanxian
203,http://www.nmc.gov.cn/publish/forecast/AGS/jingning_iframe.html,AGS,jingning
204,http://www.nmc.gov.cn/publish/forecast/AGS/tongwei_iframe.html,AGS,tongwei
205,http://www.nmc.gov.cn/publish/forecast/AGS/zhuanglang_iframe.html,AGS,zhuanglang
206,http://www.nmc.gov.cn/publish/forecast/AGS/xifeng_iframe.html,AGS,xifeng
207,http://www.nmc.gov.cn/publish/forecast/AGS/lingtai_iframe.html,AGS,lingtai
208,http://www.nmc.gov.cn/publish/forecast/AGS/zhenyuan_iframe.html,AGS,zhenyuan
209,http://www.nmc.gov.cn/publish/forecast/AGS/jingchuan_iframe.html,AGS,jingchuan
210,http://www.nmc.gov.cn/publish/forecast/AGS/huating_iframe.html,AGS,huating
211,http://www.nmc.gov.cn/publish/forecast/AGS/chongxin_iframe.html,AGS,chongxin
212,http://www.nmc.gov.cn/publish/forecast/AGS/huachi_iframe.html,AGS,huachi
213,http://www.nmc.gov.cn/publish/forecast/AGS/heshui_iframe.html,AGS,heshui
214,http://www.nmc.gov.cn/publish/forecast/AGS/zhengning_iframe.html,AGS,zhengning
215,http://www.nmc.gov.cn/publish/forecast/AGS/ningxian_iframe.html,AGS,ningxian
216,http://www.nmc.gov.cn/publish/forecast/AGS/luqu_iframe.html,AGS,luqu
217,http://www.nmc.gov.cn/publish/forecast/AGS/maqu_iframe.html,AGS,maqu
218,http://www.nmc.gov.cn/publish/forecast/AGS/hezuo_iframe.html,AGS,hezuo
219,http://www.nmc.gov.cn/publish/forecast/AGS/lintan_iframe.html,AGS,lintan
220,http://www.nmc.gov.cn/publish/forecast/AGS/zhuoni_iframe.html,AGS,zhuoni
221,http://www.nmc.gov.cn/publish/forecast/AGS/diebu_iframe.html,AGS,diebu
222,http://www.nmc.gov.cn/publish/forecast/AGS/zhangxian_iframe.html,AGS,zhangxian
223,http://www.nmc.gov.cn/publish/forecast/AGS/longxi_iframe.html,AGS,longxi
224,http://www.nmc.gov.cn/publish/forecast/AGS/minxian_iframe.html,AGS,minxian
225,http://www.nmc.gov.cn/publish/forecast/AGS/zhouqu_iframe.html,AGS,zhouqu
226,http://www.nmc.gov.cn/publish/forecast/AGS/dangchang_iframe.html,AGS,dangchang
227,http://www.nmc.gov.cn/publish/forecast/AGS/wenxian_iframe.html,AGS,wenxian
228,http://www.nmc.gov.cn/publish/forecast/AGS/gangu_iframe.html,AGS,gangu
229,http://www.nmc.gov.cn/publish/forecast/AGS/qinan_iframe.html,AGS,qinan
230,http://www.nmc.gov.cn/publish/forecast/AGS/wushan_iframe.html,AGS,wushan
231,http://www.nmc.gov.cn/publish/forecast/AGS/lixian_iframe.html,AGS,lixian
232,http://www.nmc.gov.cn/publish/forecast/AGS/xihe_iframe.html,AGS,xihe
233,http://www.nmc.gov.cn/publish/forecast/AGS/qingshui_iframe.html,AGS,qingshui
